Size,Algorithm,Executer,Iterations,Timelimit,Fitness,Classification Rate,Reduction Rate,Selected Features,Accuracy,Fitness Test,Time
500,ga,single,inf,60,84.0875,89.2000,68.7500,15,85.4514,81.2760,60.07
500,ga,single,300,None,84.0875,89.2000,68.7500,15,85.4514,81.2760,36.58
500,ga,multi,inf,60,87.0000,91.0000,75.0000,12,84.9291,82.4468,60.00
500,ga,multi,300,None,84.0875,89.2000,68.7500,15,85.4514,81.2760,3.30
500,ga,hybrid,inf,60,87.0000,91.0000,75.0000,12,84.9291,82.4468,60.02
500,ga,hybrid,300,None,84.0875,89.2000,68.7500,15,85.4514,81.2760,3.91
500,ga,gpu,inf,60,87.0000,91.0000,75.0000,12,84.9043,82.4282,60.00
500,ga,gpu,300,None,84.0875,89.2000,68.7500,15,85.4514,81.2760,0.80
500,aco,single,inf,60,88.9958,88.8000,89.5833,5,88.2368,88.5734,60.09
500,aco,single,300,None,88.6958,88.4000,89.5833,5,88.1124,88.4801,28.52
500,aco,multi,inf,60,89.9667,89.4000,91.6667,4,88.8336,89.5419,60.00
500,aco,multi,300,None,88.6958,88.4000,89.5833,5,88.1124,88.4801,3.47
500,aco,hybrid,inf,60,89.9667,89.4000,91.6667,4,88.8336,89.5419,60.01
500,aco,hybrid,300,None,88.6958,88.4000,89.5833,5,88.1124,88.4801,5.04
500,aco,gpu,inf,60,90.6458,91.0000,89.5833,5,86.6700,87.3983,60.00
500,aco,gpu,300,None,88.6958,88.4000,89.5833,5,88.1124,88.4801,0.86
500,pso,single,inf,60,79.8500,89.8000,50.0000,24,85.4016,76.5512,60.07
500,pso,single,300,None,79.2500,89.0000,50.0000,24,84.9043,76.1782,44.43
500,pso,multi,inf,60,82.7542,90.2000,60.4167,19,85.1529,78.9689,60.02
500,pso,multi,300,None,79.2500,89.0000,50.0000,24,84.9043,76.1782,11.15
500,pso,hybrid,inf,60,82.8250,89.6000,62.5000,18,85.1529,79.4897,60.00
500,pso,hybrid,300,None,79.2500,89.0000,50.0000,24,84.9043,76.1782,5.93
500,pso,gpu,inf,60,85.3583,90.2000,70.8333,14,85.3519,81.7223,60.00
500,pso,gpu,300,None,79.4708,88.6000,52.0833,23,83.9592,75.9902,0.78
1000,ga,single,inf,60,82.8917,88.3000,66.6667,16,86.8503,81.8044,60.29
1000,ga,single,300,None,86.9125,88.8000,81.2500,9,86.9923,85.5567,129.97
1000,ga,multi,inf,60,88.7708,88.5000,89.5833,5,84.9475,86.1064,60.05
1000,ga,multi,300,None,86.9125,88.8000,81.2500,9,86.9923,85.5567,29.65
1000,ga,hybrid,inf,60,88.7708,88.5000,89.5833,5,84.9475,86.1064,60.02
1000,ga,hybrid,300,None,86.9125,88.8000,81.2500,9,86.9923,85.5567,10.56
1000,ga,gpu,inf,60,88.7708,88.5000,89.5833,5,84.9475,86.1064,60.00
1000,ga,gpu,300,None,86.9125,88.8000,81.2500,9,86.9923,85.5567,2.45
1000,aco,single,inf,60,88.0958,87.6000,89.5833,5,88.3556,88.6625,60.07
1000,aco,single,300,None,88.2458,87.8000,89.5833,5,87.3899,87.9383,120.88
1000,aco,multi,inf,60,89.1375,87.6000,93.7500,3,86.1971,88.0853,60.01
1000,aco,multi,300,None,88.2458,87.8000,89.5833,5,87.3899,87.9383,21.76
1000,aco,hybrid,inf,60,89.1375,87.6000,93.7500,3,86.1971,88.0853,60.01
1000,aco,hybrid,300,None,88.2458,87.8000,89.5833,5,87.3899,87.9383,9.63
1000,aco,gpu,inf,60,89.4375,88.0000,93.7500,3,88.0148,89.4486,60.01
1000,aco,gpu,300,None,88.2458,87.8000,89.5833,5,87.3899,87.9383,2.42
1000,pso,single,inf,60,80.4375,88.5000,56.2500,21,84.7487,77.6240,60.47
1000,pso,single,300,None,80.1417,88.8000,54.1667,22,85.5439,77.6996,191.15
1000,pso,multi,inf,60,80.5125,88.6000,56.2500,21,84.8055,77.6666,60.05
1000,pso,multi,300,None,80.1417,88.8000,54.1667,22,85.5439,77.6996,28.68
1000,pso,hybrid,inf,60,82.7417,88.1000,66.6667,16,84.9475,80.3773,60.03
1000,pso,hybrid,300,None,80.1417,88.8000,54.1667,22,85.5439,77.6996,11.08
1000,pso,gpu,inf,60,83.5625,88.5000,68.7500,15,84.7202,80.7277,60.00
1000,pso,gpu,300,None,80.1417,88.8000,54.1667,22,85.5439,77.6996,2.40
1500,ga,single,inf,60,75.6042,89.0000,35.4167,31,86.8918,74.0230,61.02
1500,ga,single,300,None,86.1125,87.7333,81.2500,9,85.7994,84.6621,383.79
1500,ga,multi,inf,60,87.0833,88.3333,83.3333,8,86.4283,85.6546,60.13
1500,ga,multi,300,None,86.1125,87.7333,81.2500,9,85.7994,84.6621,43.32
1500,ga,hybrid,inf,60,88.1875,86.3333,93.7500,3,85.2036,87.3402,60.01
1500,ga,hybrid,300,None,86.1125,87.7333,81.2500,9,85.7994,84.6621,13.17
1500,ga,gpu,inf,60,88.3750,88.6667,87.5000,6,85.3360,85.8770,60.01
1500,ga,gpu,300,None,86.1125,87.7333,81.2500,9,85.7994,84.6621,6.03
1500,aco,single,inf,60,89.5167,88.8000,91.6667,4,89.2089,89.8233,60.61
1500,aco,single,300,None,89.6875,88.3333,93.7500,3,88.1496,89.5497,355.71
1500,aco,multi,inf,60,89.6875,88.3333,93.7500,3,88.1496,89.5497,60.03
1500,aco,multi,300,None,89.6875,88.3333,93.7500,3,88.1496,89.5497,40.11
1500,aco,hybrid,inf,60,89.6875,88.3333,93.7500,3,88.1496,89.5497,60.00
1500,aco,hybrid,300,None,89.6875,88.3333,93.7500,3,88.1496,89.5497,12.85
1500,aco,gpu,inf,60,90.3083,88.4667,95.8333,2,88.4806,90.3188,60.01
1500,aco,gpu,300,None,89.6875,88.3333,93.7500,3,88.1496,89.5497,5.95
1500,pso,single,inf,60,77.1083,87.5333,45.8333,26,86.2628,76.1555,60.17
1500,pso,single,300,None,80.4542,87.1333,60.4167,19,83.9126,78.0386,501.05
1500,pso,multi,inf,60,84.1375,89.2667,68.7500,15,85.3360,81.1895,60.15
1500,pso,multi,300,None,80.4542,87.1333,60.4167,19,83.9126,78.0386,51.13
1500,pso,hybrid,inf,60,84.1375,89.2667,68.7500,15,85.3360,81.1895,60.00
1500,pso,hybrid,300,None,80.4542,87.1333,60.4167,19,83.9126,78.0386,14.99
1500,pso,gpu,inf,60,83.7875,88.8000,68.7500,15,85.0381,80.9661,60.01
1500,pso,gpu,300,None,79.9333,87.1333,58.3333,20,83.9788,77.5674,6.03
2000,ga,single,inf,60,73.9625,88.2000,31.2500,33,87.5446,73.4710,60.31
2000,ga,single,300,None,85.8375,89.4500,75.0000,12,86.3943,83.5457,815.13
2000,ga,multi,inf,60,85.6500,89.2000,75.0000,12,86.4736,83.6052,60.14
2000,ga,multi,300,None,85.8375,89.4500,75.0000,12,86.3943,83.5457,101.14
2000,ga,hybrid,inf,60,88.4000,88.7000,87.5000,6,85.7200,86.1650,60.00
2000,ga,hybrid,300,None,85.8375,89.4500,75.0000,12,86.3943,83.5457,19.41
2000,ga,gpu,inf,60,88.4000,88.7000,87.5000,6,85.4423,85.9567,60.02
2000,ga,gpu,300,None,85.8375,89.4500,75.0000,12,86.3943,83.5457,9.69
2000,aco,single,inf,60,88.5833,88.2500,89.5833,5,88.4173,88.7088,60.40
2000,aco,single,300,None,88.9250,89.4000,87.5000,6,88.8536,88.5152,746.80
2000,aco,multi,inf,60,88.6583,88.3500,89.5833,5,88.1793,88.5303,60.03
