Size,Executer,Timelimit,Fitness,Classification Rate,Reduction Rate,Selected Features,Accuracy,Fitness Test
500,single,60,91.1667,91.0000,91.6667,4,86.0980,87.4902
500,multi,60,91.1667,91.0000,91.6667,4,86.1477,87.5275
500,hybrid,60,91.1667,91.0000,91.6667,4,86.1229,87.5088
500,gpu,60,91.1667,91.0000,91.6667,4,86.0980,87.4902
1000,single,60,90.5583,88.8000,95.8333,2,86.0551,88.4997
1000,multi,60,90.5583,88.8000,95.8333,2,86.0551,88.4997
1000,hybrid,60,90.5583,88.8000,95.8333,2,86.0551,88.4997
1000,gpu,60,90.3375,89.2000,93.7500,3,89.2644,90.3858
1500,single,60,91.4292,89.2667,97.9167,1,89.3082,91.4603
1500,multi,60,91.4292,89.2667,97.9167,1,89.3082,91.4603
1500,hybrid,60,91.4292,89.2667,97.9167,1,89.3082,91.4603
1500,gpu,60,91.4292,89.2667,97.9167,1,89.3082,91.4603
2000,single,60,91.0833,89.5000,95.8333,2,89.1313,90.8068
2000,multi,60,91.6042,89.5000,97.9167,1,89.1313,91.3276
2000,hybrid,60,91.6042,89.5000,97.9167,1,89.1313,91.3276
2000,gpu,60,91.6042,89.5000,97.9167,1,89.1313,91.3276
2500,single,60,90.0567,89.5200,91.6667,4,89.0648,89.7153
2500,multi,60,91.6192,89.5200,97.9167,1,89.0153,91.2407
2500,hybrid,60,91.6192,89.5200,97.9167,1,89.0153,91.2407
2500,gpu,60,91.6192,89.5200,97.9167,1,89.0153,91.2407
