Name,Cities,Executer,Timelimit,Fitness,Gap
bays29,29,single,30,2020.0000,-0.0000
bays29,29,single,60,2020.0000,-0.0000
bays29,29,single,120,2020.0000,-0.0000
bays29,29,multi,30,2020.0000,-0.0000
bays29,29,multi,60,2020.0000,-0.0000
bays29,29,multi,120,2020.0000,-0.0000
bays29,29,gpu,30,2020.0000,-0.0000
bays29,29,gpu,60,2020.0000,-0.0000
bays29,29,gpu,120,2020.0000,-0.0000
bays29,29,hybrid,30,2020.0000,-0.0000
bays29,29,hybrid,60,2020.0000,-0.0000
bays29,29,hybrid,120,2020.0000,-0.0000
eil51,51,single,30,436.6270,1.5500
eil51,51,single,60,434.2872,1.0000
eil51,51,single,120,430.4455,0.1100
eil51,51,multi,30,436.6270,1.5500
eil51,51,multi,60,436.6270,1.5500
eil51,51,multi,120,436.6270,1.5500
eil51,51,gpu,30,436.6270,1.5500
eil51,51,gpu,60,430.6917,0.1600
eil51,51,gpu,120,429.1180,-0.2000
eil51,51,hybrid,30,436.6270,1.5500
eil51,51,hybrid,60,436.6270,1.5500
eil51,51,hybrid,120,436.6270,1.5500
berlin52,52,single,30,7544.3662,0.0000
berlin52,52,single,60,7544.3662,0.0000
berlin52,52,single,120,7544.3662,0.0000
berlin52,52,multi,30,7544.3662,0.0000
berlin52,52,multi,60,7544.3662,0.0000
berlin52,52,multi,120,7544.3662,0.0000
berlin52,52,gpu,30,7544.3662,0.0000
berlin52,52,gpu,60,7544.3662,0.0000
berlin52,52,gpu,120,7544.3662,0.0000
berlin52,52,hybrid,30,7544.3662,0.0000
berlin52,52,hybrid,60,7544.3662,0.0000
berlin52,52,hybrid,120,7544.3662,0.0000
eil76,76,single,30,549.9156,0.8300
eil76,76,single,60,550.2264,0.8900
eil76,76,single,120,545.3877,-0.0000
eil76,76,multi,30,549.9156,0.8300
eil76,76,multi,60,548.7296,0.6100
eil76,76,multi,120,548.6782,0.6000
eil76,76,gpu,30,548.6782,0.6000
eil76,76,gpu,60,547.3999,0.3700
eil76,76,gpu,120,545.3876,-0.0000
eil76,76,hybrid,30,551.7448,1.1700
eil76,76,hybrid,60,550.5736,0.9500
eil76,76,hybrid,120,550.2264,0.8900
eil101,101,single,30,671.3862,4.5300
eil101,101,single,60,647.3006,0.7800
eil101,101,single,120,645.7164,0.5300
eil101,101,multi,30,652.8729,1.6400
eil101,101,multi,60,645.9296,0.5600
eil101,101,multi,120,656.6921,2.2400
eil101,101,gpu,30,653.4083,1.7300
eil101,101,gpu,60,644.9748,0.4100
eil101,101,gpu,120,655.4543,2.0500
eil101,101,hybrid,30,645.9296,0.5600
eil101,101,hybrid,60,661.8253,3.0400
eil101,101,hybrid,120,645.9296,0.5600
tsp225,225,single,30,4011.7144,3.9600
tsp225,225,single,60,4072.6418,5.5400
tsp225,225,single,120,4029.0928,4.4100
tsp225,225,multi,30,4041.4519,4.7300
tsp225,225,multi,60,4029.8989,4.4300
tsp225,225,multi,120,4034.7190,4.5500
tsp225,225,gpu,30,4041.9060,4.7400
tsp225,225,gpu,60,4023.4312,4.2600
tsp225,225,gpu,120,4007.8237,3.8600
tsp225,225,hybrid,30,4077.6526,5.6700
tsp225,225,hybrid,60,4043.0244,4.7700
tsp225,225,hybrid,120,4012.0315,3.9700
pcb442,442,single,30,56579.4180,11.4100
pcb442,442,single,60,56690.9102,11.6300
pcb442,442,single,120,56424.9258,11.1100
pcb442,442,multi,30,58029.5820,14.2700
pcb442,442,multi,60,57011.6172,12.2600
pcb442,442,multi,120,56424.6367,11.1100
pcb442,442,gpu,30,56559.3594,11.3700
pcb442,442,gpu,60,56037.6055,10.3500
pcb442,442,gpu,120,55730.3281,9.7400
pcb442,442,hybrid,30,57327.5508,12.8900
pcb442,442,hybrid,60,56169.9180,10.6100
pcb442,442,hybrid,120,56296.1602,10.8600
