Name,Cities,Algorithm,Executer,Iterations,Timelimit,Fitness,Gap,Time
bays29,29,ga,single,inf,30,2080.0,2.97,30.01
bays29,29,ga,single,inf,60,2080.0,2.97,60.02
bays29,29,ga,single,500,None,2107.0,4.31,10.94
bays29,29,ga,single,1000,None,2080.0,2.97,21.75
bays29,29,ga,multi,inf,30,2080.0,2.97,30.00
bays29,29,ga,multi,inf,60,2080.0,2.97,60.00
bays29,29,ga,multi,500,None,2080.0,2.97,0.44
bays29,29,ga,multi,1000,None,2080.0,2.97,0.90
bays29,29,ga,gpu,inf,30,2080.0,2.97,30.00
bays29,29,ga,gpu,inf,60,2080.0,2.97,60.00
bays29,29,ga,gpu,500,None,2080.0,2.97,0.62
bays29,29,ga,gpu,1000,None,2080.0,2.97,1.10
bays29,29,ga,hybrid,inf,30,2080.0,2.97,30.00
bays29,29,ga,hybrid,inf,60,2080.0,2.97,60.00
bays29,29,ga,hybrid,500,None,2080.0,2.97,0.50
bays29,29,ga,hybrid,1000,None,2080.0,2.97,1.13
bays29,29,aco,single,inf,30,2020.0,-0.0,30.01
bays29,29,aco,single,inf,60,2020.0,-0.0,60.01
bays29,29,aco,single,500,None,2022.0,0.1,10.44
bays29,29,aco,single,1000,None,2022.0,0.1,20.48
bays29,29,aco,multi,inf,30,2020.0,-0.0,30.00
bays29,29,aco,multi,inf,60,2020.0,-0.0,60.00
bays29,29,aco,multi,500,None,2022.0,0.1,1.55
bays29,29,aco,multi,1000,None,2022.0,0.1,2.86
bays29,29,aco,gpu,inf,30,2020.0,-0.0,30.00
bays29,29,aco,gpu,inf,60,2020.0,-0.0,60.00
bays29,29,aco,gpu,500,None,2022.0,0.1,0.49
bays29,29,aco,gpu,1000,None,2020.0,-0.0,0.98
bays29,29,aco,hybrid,inf,30,2020.0,-0.0,30.00
bays29,29,aco,hybrid,inf,60,2020.0,-0.0,60.00
bays29,29,aco,hybrid,500,None,2022.0,0.1,0.85
bays29,29,aco,hybrid,1000,None,2020.0,-0.0,1.45
bays29,29,pso,single,inf,30,2053.0,1.63,30.01
bays29,29,pso,single,inf,60,2053.0,1.63,60.02
bays29,29,pso,single,500,None,2101.0,4.01,10.38
